date,open,high,low,close,volume,adjclose,dividends,splits
2020-01-02,8500.0,8700.0,8500.0,8550.0,11059800,7092.8671875,0.0,5.0
2020-01-03,8675.0,8675.0,8550.0,8575.0,8071700,7113.60595703125,0.0,0.0
2020-01-06,8575.0,8600.0,8350.0,8475.0,7913300,7030.64892578125,0.0,0.0
2020-01-07,8475.0,8500.0,8400.0,8450.0,5793000,7009.9091796875,0.0,0.0
2020-01-08,8450.0,8450.0,8275.0,8325.0,8261400,6906.212890625,0.0,0.0
2020-01-09,8350.0,8425.0,8250.0,8350.0,9224300,6926.95166015625,0.0,0.0
2020-01-10,8400.0,8400.0,8250.0,8250.0,14849800,6843.994140625,0.0,0.0
2020-01-13,8275.0,8400.0,8275.0,8400.0,8904800,6968.43115234375,0.0,0.0
2020-01-14,8400.0,8500.0,8300.0,8475.0,11761100,7030.64892578125,0.0,0.0
2020-01-15,8475.0,8525.0,8350.0,8475.0,14965200,7030.64892578125,0.0,0.0
2020-01-16,8475.0,8475.0,8350.0,8425.0,9151100,6989.169921875,0.0,0.0
2020-01-17,8425.0,8425.0,8350.0,8400.0,5501800,6968.43115234375,0.0,0.0
2020-01-20,8400.0,8425.0,8325.0,8325.0,5343800,6906.212890625,0.0,0.0
2020-01-21,8325.0,8375.0,8300.0,8325.0,5211000,6906.212890625,0.0,0.0
2020-01-22,8375.0,8375.0,8225.0,8300.0,4975800,6885.47314453125,0.0,0.0
2020-01-23,8300.0,8375.0,8275.0,8325.0,3400500,6906.212890625,0.0,0.0
2020-01-24,8325.0,8325.0,8150.0,8175.0,7927900,6781.7763671875,0.0,0.0
2020-01-27,8175.0,8300.0,8075.0,8275.0,7078300,6864.73388671875,0.0,0.0
2020-01-28,8275.0,8300.0,8100.0,8250.0,8825000,6843.994140625,0.0,0.0
2020-01-29,8250.0,8300.0,8225.0,8250.0,4723100,6843.994140625,0.0,0.0
2020-01-30,8250.0,8250.0,8150.0,8225.0,4297800,6823.25537109375,0.0,0.0
2020-01-31,8225.0,8225.0,7950.0,7950.0,17743300,6595.12158203125,0.0,0.0
2020-02-03,7950.0,8075.0,7800.0,7850.0,8731500,6512.16455078125,0.0,0.0
2020-02-04,7850.0,7950.0,7850.0,7875.0,8182500,6532.90478515625,0.0,0.0
2020-02-05,7900.0,8100.0,7850.0,8100.0,7284300,6719.55810546875,0.0,0.0
2020-02-06,8100.0,8100.0,7950.0,7950.0,10884300,6595.12158203125,0.0,0.0
2020-02-07,7950.0,7975.0,7900.0,7900.0,11461800,6553.64306640625,0.0,0.0
2020-02-10,7900.0,7925.0,7800.0,7875.0,6277000,6532.90478515625,0.0,0.0
2020-02-11,7850.0,7875.0,7825.0,7850.0,5773900,6512.16455078125,0.0,0.0
2020-02-12,7825.0,7850.0,7575.0,7600.0,17269400,6304.7705078125,0.0,0.0
2020-02-13,7575.0,7600.0,7350.0,7400.0,13678700,6138.85546875,0.0,0.0
2020-02-14,7400.0,7625.0,7300.0,7475.0,8792800,6201.0732421875,0.0,0.0
2020-02-17,7475.0,7500.0,7325.0,7400.0,8267100,6138.85546875,0.0,0.0
2020-02-18,7350.0,7475.0,7325.0,7400.0,11377400,6138.85546875,0.0,0.0
2020-02-19,7400.0,7500.0,7375.0,7475.0,7178400,6201.0732421875,0.0,0.0
2020-02-20,7500.0,7700.0,7475.0,7650.0,11991000,6346.24951171875,0.0,0.0
2020-02-21,7650.0,7650.0,7475.0,7500.0,9864100,6221.81396484375,0.0,0.0
2020-02-24,7400.0,7425.0,7225.0,7225.0,11614600,5993.6806640625,0.0,0.0
2020-02-25,7150.0,7350.0,7075.0,7300.0,14739700,6055.8984375,0.0,0.0
2020-02-26,7250.0,7375.0,7200.0,7300.0,10567900,6055.8984375,0.0,0.0
2020-02-27,7300.0,7300.0,7025.0,7150.0,13251400,5931.46142578125,0.0,0.0
2020-02-28,7075.0,7075.0,6725.0,6825.0,34476300,5661.8505859375,0.0,0.0
2020-03-02,6825.0,7200.0,6800.0,6900.0,20747600,5724.06787109375,0.0,0.0
2020-03-03,7100.0,7200.0,6950.0,7125.0,27945100,5910.72265625,0.0,0.0
2020-03-04,7125.0,7450.0,7100.0,7425.0,16142200,6159.595703125,0.0,0.0
2020-03-05,7475.0,7600.0,7375.0,7400.0,12512400,6138.85546875,0.0,0.0
2020-03-06,7375.0,7475.0,7225.0,7450.0,10982200,6180.33447265625,0.0,0.0
2020-03-09,7000.0,7200.0,6900.0,7025.0,21278700,5827.76611328125,0.0,0.0
2020-03-10,7025.0,7375.0,7025.0,7100.0,14816900,5889.9833984375,0.0,0.0
2020-03-11,7100.0,7450.0,7075.0,7300.0,19638900,6055.8984375,0.0,0.0
2020-03-12,7225.0,7450.0,7000.0,7225.0,20637800,5993.6806640625,0.0,0.0
2020-03-13,7225.0,7225.0,7225.0,7225.0,0,5993.6806640625,0.0,0.0
2020-03-16,7475.0,7500.0,6975.0,6975.0,18254300,5786.2861328125,0.0,0.0
2020-03-17,6975.0,7175.0,6500.0,6500.0,29370900,5392.23828125,0.0,0.0
2020-03-18,6650.0,6650.0,6050.0,6050.0,34350500,5018.92919921875,0.0,0.0
2020-03-19,6050.0,6150.0,5650.0,5650.0,13743300,4687.09912109375,0.0,0.0
2020-03-20,5475.0,6475.0,5275.0,6225.0,45224600,5164.1044921875,0.0,0.0
2020-03-23,6125.0,6225.0,5800.0,5800.0,16961000,4811.53564453125,0.0,0.0
2020-03-24,5900.0,6100.0,5575.0,5675.0,19279500,4707.837890625,0.0,0.0
2020-03-26,5825.0,6800.0,5825.0,6775.0,29296900,5620.37109375,0.0,0.0
2020-03-27,7000.0,7725.0,6500.0,6800.0,30521200,5641.11083984375,0.0,0.0
2020-03-30,6775.0,6800.0,6325.0,6425.0,18135300,5330.02099609375,0.0,0.0
2020-03-31,6600.0,7250.0,6600.0,7250.0,27011000,6014.41943359375,0.0,0.0
2020-04-01,7250.0,7475.0,7000.0,7150.0,13801800,5931.46142578125,0.0,0.0
2020-04-02,7150.0,7225.0,6925.0,7225.0,11148700,5993.6806640625,0.0,0.0
2020-04-03,7225.0,7250.0,6925.0,7100.0,18556300,5889.9833984375,0.0,0.0
2020-04-06,7125.0,7300.0,7100.0,7300.0,8882300,6055.8984375,0.0,0.0
2020-04-07,7350.0,7600.0,7050.0,7275.0,11884600,6035.15869140625,0.0,0.0
2020-04-08,7250.0,7250.0,6800.0,7125.0,14428900,5910.72265625,0.0,0.0
2020-04-09,7000.0,7250.0,6900.0,7250.0,8617000,6014.41943359375,0.0,0.0
2020-04-13,7250.0,7250.0,7050.0,7100.0,4282500,5889.9833984375,0.0,0.0
2020-04-14,7100.0,7150.0,7025.0,7150.0,6534300,5931.46142578125,0.0,0.0
2020-04-15,7150.0,7200.0,6925.0,6975.0,11877300,5786.2861328125,0.0,0.0
2020-04-16,6975.0,6975.0,6600.0,6650.0,17260700,5516.67431640625,0.0,0.0
2020-04-17,6800.0,6950.0,6800.0,6875.0,11696600,5703.32861328125,0.0,0.0
2020-04-20,6900.0,7075.0,6875.0,7000.0,13853300,5807.025390625,0.0,0.0
2020-04-21,7000.0,7075.0,6850.0,6925.0,10394700,5744.80712890625,0.0,0.0
