Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,150.0,153.0,149.0,152.0,152.0,10000000
2024-04-02,152.0,154.0,151.0,153.0,153.0,11000000
2024-04-03,153.0,155.0,152.0,154.0,154.0,10500000
2024-04-04,154.0,156.0,153.0,155.0,155.0,12000000
2024-04-05,155.0,157.0,154.0,156.0,156.0,11500000
2024-04-06,156.0,158.0,155.0,157.0,157.0,13000000
2024-04-07,157.0,159.0,156.0,158.0,158.0,12500000
2024-04-08,158.0,160.0,157.0,159.0,159.0,14000000
2024-04-09,159.0,161.0,158.0,160.0,160.0,13500000
2024-04-10,160.0,162.0,159.0,161.0,161.0,15000000
